,name,clouds,dt,humidity,lat,lon,temp_max,temp_min
370,Coos Bay,75,1553731821,54,43.37,43.37,15.0,13.33
371,Damietta,0,1553727600,77,31.42,31.42,16.0,16.0
372,Ust-Nera,12,1553731974,71,64.57,64.57,-17.06,-17.06
373,Laukaa,0,1553731844,86,62.42,62.42,-2.0,-6.67
374,Honiara,36,1553731974,82,-9.43,-9.43,27.6,27.6
375,Chernyshevskiy,76,1553731974,84,63.01,63.01,-7.88,-7.88
376,Vershino-Shakhtaminskiy,64,1553731975,55,51.3,51.3,-8.56,-8.56
377,Ormara,36,1553731975,83,25.21,25.21,22.12,22.12
378,Alihe,0,1553731975,48,50.57,50.57,-7.66,-7.66
379,Kotelnich,92,1553731975,100,58.31,58.31,-0.98,-0.98
380,Elko,75,1553731805,19,40.83,40.83,16.11,14.44
381,Rawson,0,1553731975,40,-43.3,-43.3,22.22,22.22
382,Borovoy,48,1553731976,88,63.23,63.23,-1.63,-1.63
383,Voi,64,1553731976,94,-3.4,-3.4,20.2,20.2
384,San Nicolas,0,1553731976,54,14.94,14.94,22.52,22.52
385,Breves,36,1553731976,98,-1.68,-1.68,24.82,24.82
386,Venustiano Carranza,5,1553731941,14,19.42,19.42,29.0,23.0
387,Codrington,92,1553731801,83,-28.95,-28.95,24.0,21.0
388,Santa Vitoria do Palmar,0,1553731977,85,-33.52,-33.52,16.77,16.77
389,Tabuk,0,1553731977,68,17.41,17.41,22.1,22.1
390,Shingu,75,1553727600,51,33.72,33.72,16.0,16.0
391,Golden,75,1553727600,64,51.3,51.3,9.0,9.0
392,Coahuayana,0,1553731978,17,18.62,18.62,29.72,29.72
393,Bumba,36,1553731978,92,2.18,2.18,24.22,24.22
394,Lanzhou,75,1553727600,40,36.06,36.06,2.0,2.0
395,Viedma,8,1553731978,42,-40.81,-40.81,19.95,19.95
396,Nanortalik,8,1553731979,100,60.14,60.14,-4.56,-4.56
397,Kinkala,48,1553727600,83,-4.35,-4.35,26.0,26.0
398,Grants,1,1553729700,10,35.15,35.15,21.0,21.0
399,Meulaboh,88,1553731979,100,4.14,4.14,26.72,26.72
